Study_code,Sample_ID,00940_Cl_mg_per_L,00945_SO4_mg_per_L_as_SO4,71851_NO3_mg_per_L_as_NO3,71856_NO2_mg_per_L_as_NO2,00950_F_mg_per_L
S19S,S19S_0001_ANI-1,1.33,10,0.32,Below_Range_Less_Than_0.04,0.06
S19S,S19S_0001_ANI-2,1.34,9.71,0.27,Below_Range_Less_Than_0.04,0.04
S19S,S19S_0001_ANI-3,1.33,10.4,0.34,Below_Range_Less_Than_0.04,0.05
S19S,S19S_0003_ANI-1,0.3,9.8,0.19,Below_Range_Less_Than_0.04,0.07
S19S,S19S_0003_ANI-2,0.31,8.03,0.23,Below_Range_Less_Than_0.04,0.07
S19S,S19S_0003_ANI-3,0.31,8.62,0.23,Below_Range_Less_Than_0.04,0.06
S19S,S19S_0004_ANI-1,1.83,6.53,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.07
S19S,S19S_0004_ANI-2,2,6.66,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.08
S19S,S19S_0005_ANI-1,31.94,242.56,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.13
S19S,S19S_0005_ANI-2,33.9,259.29,0.96,Below_Range_Less_Than_0.04,0.16
S19S,S19S_0005_ANI-3,34.06,262.38,0.38,Below_Range_Less_Than_0.04,0.16
S19S,S19S_0006_ANI-1,311.31,33.45,6.43,Below_Range_Less_Than_0.04,Below_Range_Less_Than_0.02
S19S,S19S_0006_ANI-2,286.25,30.48,6.1,Below_Range_Less_Than_0.04,0.12
S19S,S19S_0006_ANI-3,284.53,29.97,6.14,Below_Range_Less_Than_0.04,0.09
S19S,S19S_0007_ANI-1,0.39,0.19,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.04
S19S,S19S_0007_ANI-2,0.41,0.24,0.41,Below_Range_Less_Than_0.04,0.03
S19S,S19S_0007_ANI-3,0.38,0.18,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.04
S19S,S19S_0008_ANI-1,0.22,0.23,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.03
S19S,S19S_0008_ANI-2,0.21,0.24,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,Below_Range_Less_Than_0.02
S19S,S19S_0008_ANI-3,0.21,0.22,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.03
S19S,S19S_0009_ANI-1,6.96,160.13,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.21
S19S,S19S_0009_ANI-2,6.73,157.71,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.23
S19S,S19S_0009_ANI-3,6.76,158.01,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.22
S19S,S19S_0010_ANI-1,7.44,13.55,0.85,Below_Range_Less_Than_0.04,0.11
S19S,S19S_0010_ANI-2,7.24,13.32,0.81,Below_Range_Less_Than_0.04,0.11
S19S,S19S_0010_ANI-3,7.31,13.39,0.84,Below_Range_Less_Than_0.04,0.1
S19S,S19S_0011_ANI-1,3.07,3.03,2.99,Below_Range_Less_Than_0.04,0.07
S19S,S19S_0011_ANI-2,3.09,3.01,2.97,Below_Range_Less_Than_0.04,0.07
S19S,S19S_0011_ANI-3,3.13,3.31,2.96,Below_Range_Less_Than_0.04,0.09
S19S,S19S_0012_ANI-1,20.29,4.07,0.31,Below_Range_Less_Than_0.04,0.06
S19S,S19S_0012_ANI-2,20.49,4,0.39,Below_Range_Less_Than_0.04,0.06
S19S,S19S_0012_ANI-3,20.64,4.01,0.37,Below_Range_Less_Than_0.04,0.06
S19S,S19S_0013_ANI-1,2.85,3.17,0.97,Below_Range_Less_Than_0.04,0.06
S19S,S19S_0013_ANI-2,2.79,3.1,0.8,Below_Range_Less_Than_0.04,0.05
S19S,S19S_0013_ANI-3,2.82,3.12,0.89,0.05,0.06
S19S,S19S_0014_ANI-1,19.97,18.52,12.19,Below_Range_Less_Than_0.04,0.21
S19S,S19S_0014_ANI-2,19.01,17.47,12,Below_Range_Less_Than_0.04,0.22
S19S,S19S_0014_ANI-3,19.19,17.59,11.93,Below_Range_Less_Than_0.04,0.22
S19S,S19S_0015_ANI-1,6.12,4.23,4.28,Below_Range_Less_Than_0.04,0.07
S19S,S19S_0015_ANI-2,6.06,4.18,4.08,Below_Range_Less_Than_0.04,0.07
S19S,S19S_0015_ANI-3,5.99,4.12,3.97,Below_Range_Less_Than_0.04,0.06
S19S,S19S_0016_ANI-1,1.9,36.2,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.36
S19S,S19S_0016_ANI-2,1.77,34.49,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.32
S19S,S19S_0016_ANI-3,1.71,33.63,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.34
S19S,S19S_0017_ANI-1,2.52,8.08,1.2,Below_Range_Less_Than_0.04,0.16
S19S,S19S_0017_ANI-2,2.45,8.04,1.28,Below_Range_Less_Than_0.04,0.14
S19S,S19S_0017_ANI-3,2.43,8.25,1.27,Below_Range_Less_Than_0.04,0.19
S19S,S19S_0018_ANI-1,5.11,4.59,4.62,Below_Range_Less_Than_0.04,0.1
S19S,S19S_0018_ANI-2,0.81,2.05,1.18,Below_Range_Less_Than_0.04,0.04
S19S,S19S_0018_ANI-3,0.39,1.52,0.71,Below_Range_Less_Than_0.04,0.06
S19S,S19S_0019_ANI-1,0.81,1.56,0.23,Below_Range_Less_Than_0.04,0.05
S19S,S19S_0019_ANI-2,0.93,1.77,0.21,Below_Range_Less_Than_0.04,0.05
S19S,S19S_0019_ANI-3,0.89,1.72,0.24,Below_Range_Less_Than_0.04,0.05
S19S,S19S_0020_ANI-1,11.81,36.24,0.38,Below_Range_Less_Than_0.04,0.09
S19S,S19S_0020_ANI-2,11.77,36.68,0.28,Below_Range_Less_Than_0.04,0.09
S19S,S19S_0020_ANI-3,11.76,36.38,0.34,Below_Range_Less_Than_0.04,0.09
